round,year,quarter,forecaster,target,point
1999Q2,1999,2,50,2000Mar,1.0
1999Q2,1999,2,53,2000Mar,1.7
1999Q2,1999,2,54,2000Mar,1.5
1999Q2,1999,2,55,2000Mar,1.8
1999Q2,1999,2,56,2000Mar,1.4
1999Q2,1999,2,57,2000Mar,1.3
1999Q2,1999,2,59,2000Mar,1.7
1999Q2,1999,2,60,2000Mar,1.5
1999Q2,1999,2,61,2000Mar,1.6
1999Q2,1999,2,63,2000Mar,
1999Q2,1999,2,64,2000Mar,1.2
1999Q2,1999,2,65,2000Mar,1.4
1999Q2,1999,2,67,2000Mar,1.4
1999Q2,1999,2,70,2000Mar,1.6
1999Q2,1999,2,71,2000Mar,1.4
1999Q2,1999,2,72,2000Mar,1.3
1999Q2,1999,2,73,2000Mar,
1999Q2,1999,2,85,2000Mar,1.0
1999Q2,1999,2,87,2000Mar,1.5
1999Q2,1999,2,88,2000Mar,1.5
1999Q2,1999,2,89,2000Mar,1.5
1999Q2,1999,2,90,2000Mar,1.2
1999Q2,1999,2,91,2000Mar,
1999Q2,1999,2,92,2000Mar,1.69
1999Q2,1999,2,93,2000Mar,
1999Q2,1999,2,94,2000Mar,1.5
1999Q2,1999,2,95,2000Mar,1.0
1999Q3,1999,3,1,2000Jun,1.5
1999Q3,1999,3,3,2000Jun,1.2
1999Q3,1999,3,5,2000Jun,1.4
1999Q3,1999,3,7,2000Jun,1.3
1999Q3,1999,3,9,2000Jun,1.3
1999Q3,1999,3,10,2000Jun,1.5
1999Q3,1999,3,11,2000Jun,1.2
1999Q3,1999,3,14,2000Jun,1.3
1999Q3,1999,3,16,2000Jun,1.5
1999Q3,1999,3,19,2000Jun,1.3
1999Q3,1999,3,20,2000Jun,1.6
1999Q3,1999,3,23,2000Jun,1.9
1999Q3,1999,3,26,2000Jun,1.7
1999Q3,1999,3,28,2000Jun,1.2
1999Q3,1999,3,29,2000Jun,1.3
1999Q3,1999,3,31,2000Jun,1.5
1999Q3,1999,3,32,2000Jun,1.5
1999Q3,1999,3,33,2000Jun,1.5
1999Q3,1999,3,34,2000Jun,1.6
1999Q3,1999,3,35,2000Jun,2.0
1999Q3,1999,3,36,2000Jun,1.4
1999Q3,1999,3,37,2000Jun,1.9
1999Q3,1999,3,38,2000Jun,1.8
1999Q3,1999,3,39,2000Jun,1.6
1999Q3,1999,3,41,2000Jun,1.7
1999Q3,1999,3,42,2000Jun,1.8
1999Q3,1999,3,45,2000Jun,
1999Q3,1999,3,46,2000Jun,0.67
1999Q3,1999,3,47,2000Jun,1.2
1999Q3,1999,3,48,2000Jun,1.3
1999Q3,1999,3,52,2000Jun,1.7
1999Q3,1999,3,53,2000Jun,1.8
1999Q3,1999,3,54,2000Jun,1.6
1999Q3,1999,3,55,2000Jun,1.7
1999Q3,1999,3,56,2000Jun,1.7
1999Q3,1999,3,59,2000Jun,1.4
1999Q3,1999,3,62,2000Jun,
1999Q3,1999,3,63,2000Jun,
1999Q3,1999,3,64,2000Jun,1.5
1999Q3,1999,3,65,2000Jun,1.8
1999Q3,1999,3,67,2000Jun,1.4
1999Q3,1999,3,70,2000Jun,1.7
1999Q3,1999,3,72,2000Jun,1.6
1999Q3,1999,3,73,2000Jun,1.5
1999Q3,1999,3,76,2000Jun,1.3
1999Q3,1999,3,85,2000Jun,1.0
1999Q3,1999,3,87,2000Jun,1.5
1999Q3,1999,3,88,2000Jun,1.7
1999Q3,1999,3,90,2000Jun,1.4
1999Q3,1999,3,91,2000Jun,1.2
1999Q3,1999,3,93,2000Jun,
1999Q3,1999,3,94,2000Jun,1.9
1999Q3,1999,3,95,2000Jun,1.1
1999Q4,1999,4,1,2000Sep,1.8
1999Q4,1999,4,2,2000Sep,1.6
1999Q4,1999,4,3,2000Sep,1.3
1999Q4,1999,4,4,2000Sep,1.7
1999Q4,1999,4,5,2000Sep,1.5
1999Q4,1999,4,7,2000Sep,1.4
1999Q4,1999,4,9,2000Sep,1.3
1999Q4,1999,4,11,2000Sep,1.1
1999Q4,1999,4,14,2000Sep,1.5
1999Q4,1999,4,16,2000Sep,1.4
1999Q4,1999,4,19,2000Sep,1.7
1999Q4,1999,4,23,2000Sep,1.7
1999Q4,1999,4,24,2000Sep,1.6
1999Q4,1999,4,26,2000Sep,1.5
1999Q4,1999,4,28,2000Sep,1.3
1999Q4,1999,4,30,2000Sep,1.8
1999Q4,1999,4,31,2000Sep,1.6
1999Q4,1999,4,32,2000Sep,1.7
1999Q4,1999,4,33,2000Sep,1.8
1999Q4,1999,4,35,2000Sep,1.6
1999Q4,1999,4,36,2000Sep,1.5
1999Q4,1999,4,37,2000Sep,1.9
1999Q4,1999,4,38,2000Sep,1.8
1999Q4,1999,4,39,2000Sep,1.6
1999Q4,1999,4,40,2000Sep,1.3
1999Q4,1999,4,41,2000Sep,1.6
1999Q4,1999,4,42,2000Sep,1.5
1999Q4,1999,4,45,2000Sep,
1999Q4,1999,4,46,2000Sep,0.87
1999Q4,1999,4,47,2000Sep,1.2
1999Q4,1999,4,49,2000Sep,1.3
1999Q4,1999,4,52,2000Sep,1.7
1999Q4,1999,4,53,2000Sep,1.6
1999Q4,1999,4,54,2000Sep,1.6
1999Q4,1999,4,55,2000Sep,1.7
1999Q4,1999,4,57,2000Sep,1.5
1999Q4,1999,4,59,2000Sep,1.7
1999Q4,1999,4,61,2000Sep,1.6
1999Q4,1999,4,62,2000Sep,
1999Q4,1999,4,63,2000Sep,
1999Q4,1999,4,64,2000Sep,1.6
1999Q4,1999,4,65,2000Sep,1.9
1999Q4,1999,4,67,2000Sep,1.8
1999Q4,1999,4,70,2000Sep,1.9
1999Q4,1999,4,72,2000Sep,1.6
1999Q4,1999,4,73,2000Sep,1.8
1999Q4,1999,4,76,2000Sep,1.3
1999Q4,1999,4,85,2000Sep,0.8
1999Q4,1999,4,87,2000Sep,1.5
1999Q4,1999,4,88,2000Sep,1.2
1999Q4,1999,4,89,2000Sep,1.5
1999Q4,1999,4,90,2000Sep,1.2
1999Q4,1999,4,91,2000Sep,1.1
1999Q4,1999,4,92,2000Sep,1.77
1999Q4,1999,4,93,2000Sep,
1999Q4,1999,4,94,2000Sep,1.3
1999Q4,1999,4,95,2000Sep,1.4
2000Q1,2000,1,1,2000Dec,1.9
2000Q1,2000,1,2,2000Dec,
2000Q1,2000,1,3,2000Dec,1.8
2000Q1,2000,1,4,2000Dec,1.8
2000Q1,2000,1,5,2000Dec,1.6
2000Q1,2000,1,7,2000Dec,1.8
2000Q1,2000,1,9,2000Dec,1.8
2000Q1,2000,1,10,2000Dec,1.6
2000Q1,2000,1,11,2000Dec,1.4
2000Q1,2000,1,13,2000Dec,2.4
2000Q1,2000,1,14,2000Dec,1.1
2000Q1,2000,1,15,2000Dec,1.9
2000Q1,2000,1,16,2000Dec,1.3
2000Q1,2000,1,23,2000Dec,1.6
2000Q1,2000,1,24,2000Dec,1.8
2000Q1,2000,1,26,2000Dec,1.6
2000Q1,2000,1,28,2000Dec,1.6
2000Q1,2000,1,29,2000Dec,1.6
2000Q1,2000,1,30,2000Dec,1.8
2000Q1,2000,1,32,2000Dec,1.6
2000Q1,2000,1,33,2000Dec,2.2
2000Q1,2000,1,35,2000Dec,2.0
2000Q1,2000,1,36,2000Dec,2.0
2000Q1,2000,1,37,2000Dec,1.8
2000Q1,2000,1,38,2000Dec,1.9
2000Q1,2000,1,39,2000Dec,1.6
2000Q1,2000,1,40,2000Dec,1.7
2000Q1,2000,1,41,2000Dec,1.5
2000Q1,2000,1,42,2000Dec,1.4
2000Q1,2000,1,44,2000Dec,
2000Q1,2000,1,45,2000Dec,
2000Q1,2000,1,46,2000Dec,1.05
2000Q1,2000,1,47,2000Dec,1.6
2000Q1,2000,1,48,2000Dec,1.7
2000Q1,2000,1,49,2000Dec,1.6
2000Q1,2000,1,50,2000Dec,1.3
2000Q1,2000,1,53,2000Dec,1.6
2000Q1,2000,1,54,2000Dec,1.7
2000Q1,2000,1,55,2000Dec,1.6
2000Q1,2000,1,57,2000Dec,1.5
2000Q1,2000,1,61,2000Dec,1.7
2000Q1,2000,1,62,2000Dec,
2000Q1,2000,1,64,2000Dec,1.7
2000Q1,2000,1,65,2000Dec,1.8
2000Q1,2000,1,66,2000Dec,1.8
2000Q1,2000,1,67,2000Dec,1.8
2000Q1,2000,1,70,2000Dec,1.8
2000Q1,2000,1,71,2000Dec,1.1
2000Q1,2000,1,72,2000Dec,1.2
2000Q1,2000,1,73,2000Dec,1.8
2000Q1,2000,1,76,2000Dec,1.3
2000Q1,2000,1,85,2000Dec,1.3
2000Q1,2000,1,87,2000Dec,1.6
2000Q1,2000,1,89,2000Dec,1.8
2000Q1,2000,1,90,2000Dec,1.4
2000Q1,2000,1,91,2000Dec,1.1
2000Q1,2000,1,92,2000Dec,1.92
2000Q1,2000,1,93,2000Dec,
2000Q1,2000,1,94,2000Dec,1.5
2000Q1,2000,1,95,2000Dec,1.6
2000Q2,2000,2,1,2001Mar,1.9
2000Q2,2000,2,2,2001Mar,2.0
2000Q2,2000,2,3,2001Mar,2.0
2000Q2,2000,2,4,2001Mar,1.5
2000Q2,2000,2,5,2001Mar,1.6
2000Q2,2000,2,7,2001Mar,2.1
2000Q2,2000,2,9,2001Mar,1.7
2000Q2,2000,2,10,2001Mar,1.6
2000Q2,2000,2,14,2001Mar,1.6
2000Q2,2000,2,15,2001Mar,2.1
2000Q2,2000,2,16,2001Mar,0.9
2000Q2,2000,2,17,2001Mar,1.9
2000Q2,2000,2,18,2001Mar,1.5
2000Q2,2000,2,19,2001Mar,2.0
2000Q2,2000,2,20,2001Mar,1.8
2000Q2,2000,2,22,2001Mar,1.2
2000Q2,2000,2,23,2001Mar,1.6
2000Q2,2000,2,24,2001Mar,1.7
2000Q2,2000,2,26,2001Mar,1.5
2000Q2,2000,2,28,2001Mar,
2000Q2,2000,2,31,2001Mar,1.9
2000Q2,2000,2,32,2001Mar,1.8
2000Q2,2000,2,33,2001Mar,2.0
2000Q2,2000,2,34,2001Mar,2.0
2000Q2,2000,2,35,2001Mar,2.2
2000Q2,2000,2,36,2001Mar,2.0
2000Q2,2000,2,37,2001Mar,1.8
2000Q2,2000,2,38,2001Mar,1.9
2000Q2,2000,2,39,2001Mar,1.8
2000Q2,2000,2,40,2001Mar,1.7
2000Q2,2000,2,41,2001Mar,1.5
2000Q2,2000,2,42,2001Mar,1.5
2000Q2,2000,2,44,2001Mar,
2000Q2,2000,2,45,2001Mar,
2000Q2,2000,2,46,2001Mar,2.26
2000Q2,2000,2,48,2001Mar,1.4
2000Q2,2000,2,53,2001Mar,1.5
2000Q2,2000,2,55,2001Mar,2.0
2000Q2,2000,2,56,2001Mar,1.8
2000Q2,2000,2,57,2001Mar,1.8
2000Q2,2000,2,59,2001Mar,1.2
2000Q2,2000,2,61,2001Mar,1.4
2000Q2,2000,2,62,2001Mar,
2000Q2,2000,2,63,2001Mar,
2000Q2,2000,2,64,2001Mar,1.8
2000Q2,2000,2,67,2001Mar,2.0
2000Q2,2000,2,70,2001Mar,1.9
2000Q2,2000,2,71,2001Mar,1.2
2000Q2,2000,2,72,2001Mar,1.7
2000Q2,2000,2,73,2001Mar,1.7
2000Q2,2000,2,76,2001Mar,1.7
2000Q2,2000,2,82,2001Mar,1.4
2000Q2,2000,2,85,2001Mar,1.6
2000Q2,2000,2,87,2001Mar,1.5
2000Q2,2000,2,89,2001Mar,1.7
2000Q2,2000,2,90,2001Mar,1.6
2000Q2,2000,2,91,2001Mar,
2000Q2,2000,2,92,2001Mar,1.44
2000Q2,2000,2,93,2001Mar,
2000Q2,2000,2,94,2001Mar,1.7
2000Q2,2000,2,95,2001Mar,1.5
2000Q2,2000,2,96,2001Mar,1.7
2000Q3,2000,3,1,2001Jun,2.0
2000Q3,2000,3,3,2001Jun,1.9
2000Q3,2000,3,4,2001Jun,1.8
2000Q3,2000,3,5,2001Jun,1.7
2000Q3,2000,3,7,2001Jun,2.0
2000Q3,2000,3,9,2001Jun,2.0
2000Q3,2000,3,10,2001Jun,1.9
2000Q3,2000,3,11,2001Jun,1.6
2000Q3,2000,3,14,2001Jun,1.7
2000Q3,2000,3,15,2001Jun,2.0
2000Q3,2000,3,17,2001Jun,1.6
2000Q3,2000,3,19,2001Jun,1.8
2000Q3,2000,3,20,2001Jun,1.8
2000Q3,2000,3,22,2001Jun,1.0
2000Q3,2000,3,26,2001Jun,1.9
2000Q3,2000,3,28,2001Jun,
2000Q3,2000,3,29,2001Jun,
2000Q3,2000,3,30,2001Jun,1.6
2000Q3,2000,3,31,2001Jun,1.5
2000Q3,2000,3,32,2001Jun,1.8
2000Q3,2000,3,33,2001Jun,2.1
2000Q3,2000,3,35,2001Jun,2.0
2000Q3,2000,3,36,2001Jun,2.2
2000Q3,2000,3,37,2001Jun,2.2
2000Q3,2000,3,39,2001Jun,2.1
2000Q3,2000,3,41,2001Jun,1.8
2000Q3,2000,3,43,2001Jun,
2000Q3,2000,3,45,2001Jun,1.91
2000Q3,2000,3,46,2001Jun,1.93
2000Q3,2000,3,48,2001Jun,1.1
2000Q3,2000,3,53,2001Jun,1.9
2000Q3,2000,3,54,2001Jun,1.6
2000Q3,2000,3,55,2001Jun,2.0
2000Q3,2000,3,56,2001Jun,1.5
2000Q3,2000,3,57,2001Jun,1.8
2000Q3,2000,3,59,2001Jun,1.6
2000Q3,2000,3,64,2001Jun,2.0
2000Q3,2000,3,67,2001Jun,1.9
2000Q3,2000,3,70,2001Jun,2.1
2000Q3,2000,3,71,2001Jun,1.6
2000Q3,2000,3,72,2001Jun,1.8
2000Q3,2000,3,73,2001Jun,2.0
2000Q3,2000,3,76,2001Jun,1.8
2000Q3,2000,3,85,2001Jun,1.8
2000Q3,2000,3,87,2001Jun,1.9
2000Q3,2000,3,89,2001Jun,1.8
2000Q3,2000,3,90,2001Jun,1.5
2000Q3,2000,3,91,2001Jun,1.5
2000Q3,2000,3,93,2001Jun,2.0
2000Q3,2000,3,94,2001Jun,1.5
2000Q3,2000,3,95,2001Jun,1.9
2000Q3,2000,3,96,2001Jun,2.1
2000Q4,2000,4,1,2001Sep,1.9
2000Q4,2000,4,2,2001Sep,2.5
2000Q4,2000,4,3,2001Sep,
2000Q4,2000,4,4,2001Sep,1.5
2000Q4,2000,4,5,2001Sep,1.9
2000Q4,2000,4,6,2001Sep,2.5
2000Q4,2000,4,7,2001Sep,1.8
2000Q4,2000,4,9,2001Sep,2.0
2000Q4,2000,4,10,2001Sep,2.4
2000Q4,2000,4,11,2001Sep,2.0
2000Q4,2000,4,14,2001Sep,
2000Q4,2000,4,15,2001Sep,2.0
2000Q4,2000,4,16,2001Sep,1.7
2000Q4,2000,4,17,2001Sep,1.7
2000Q4,2000,4,18,2001Sep,1.6
2000Q4,2000,4,19,2001Sep,1.5
2000Q4,2000,4,20,2001Sep,1.8
2000Q4,2000,4,22,2001Sep,0.8
2000Q4,2000,4,23,2001Sep,1.8
2000Q4,2000,4,24,2001Sep,1.8
2000Q4,2000,4,26,2001Sep,1.6
2000Q4,2000,4,28,2001Sep,1.5
2000Q4,2000,4,29,2001Sep,1.3
2000Q4,2000,4,30,2001Sep,1.8
2000Q4,2000,4,31,2001Sep,1.8
2000Q4,2000,4,32,2001Sep,1.9
2000Q4,2000,4,33,2001Sep,2.4
2000Q4,2000,4,34,2001Sep,2.1
2000Q4,2000,4,35,2001Sep,2.0
2000Q4,2000,4,36,2001Sep,2.2
2000Q4,2000,4,37,2001Sep,2.0
2000Q4,2000,4,38,2001Sep,2.0
2000Q4,2000,4,39,2001Sep,1.7
2000Q4,2000,4,40,2001Sep,1.6
2000Q4,2000,4,41,2001Sep,1.8
2000Q4,2000,4,42,2001Sep,1.7
2000Q4,2000,4,45,2001Sep,
2000Q4,2000,4,46,2001Sep,2.93
2000Q4,2000,4,48,2001Sep,1.6
2000Q4,2000,4,50,2001Sep,1.5
2000Q4,2000,4,52,2001Sep,1.7
2000Q4,2000,4,53,2001Sep,1.6
2000Q4,2000,4,54,2001Sep,1.6
2000Q4,2000,4,55,2001Sep,2.0
2000Q4,2000,4,56,2001Sep,1.6
2000Q4,2000,4,57,2001Sep,1.6
2000Q4,2000,4,59,2001Sep,1.4
2000Q4,2000,4,60,2001Sep,1.7
2000Q4,2000,4,61,2001Sep,1.4
2000Q4,2000,4,62,2001Sep,
2000Q4,2000,4,64,2001Sep,2.0
2000Q4,2000,4,65,2001Sep,1.9
2000Q4,2000,4,67,2001Sep,2.2
2000Q4,2000,4,70,2001Sep,2.1
2000Q4,2000,4,71,2001Sep,1.5
2000Q4,2000,4,72,2001Sep,2.0
2000Q4,2000,4,73,2001Sep,2.0
2000Q4,2000,4,76,2001Sep,2.1
2000Q4,2000,4,85,2001Sep,1.9
2000Q4,2000,4,87,2001Sep,1.8
2000Q4,2000,4,89,2001Sep,1.8
2000Q4,2000,4,90,2001Sep,1.7
2000Q4,2000,4,91,2001Sep,1.3
2000Q4,2000,4,92,2001Sep,1.4
2000Q4,2000,4,93,2001Sep,2.0
2000Q4,2000,4,94,2001Sep,1.9
2000Q4,2000,4,95,2001Sep,1.9
2000Q4,2000,4,96,2001Sep,2.0
2001Q1,2001,1,1,2001Dec,1.7
2001Q1,2001,1,2,2001Dec,2.3
2001Q1,2001,1,3,2001Dec,1.9
2001Q1,2001,1,4,2001Dec,1.7
2001Q1,2001,1,5,2001Dec,1.5
2001Q1,2001,1,7,2001Dec,1.7
2001Q1,2001,1,9,2001Dec,1.9
2001Q1,2001,1,10,2001Dec,1.6
2001Q1,2001,1,11,2001Dec,1.7
2001Q1,2001,1,14,2001Dec,1.5
2001Q1,2001,1,15,2001Dec,2.0
2001Q1,2001,1,16,2001Dec,1.5
2001Q1,2001,1,17,2001Dec,1.2
2001Q1,2001,1,18,2001Dec,
2001Q1,2001,1,19,2001Dec,1.7
2001Q1,2001,1,20,2001Dec,1.9
2001Q1,2001,1,22,2001Dec,1.5
2001Q1,2001,1,23,2001Dec,1.8
2001Q1,2001,1,24,2001Dec,1.5
2001Q1,2001,1,26,2001Dec,1.8
2001Q1,2001,1,29,2001Dec,1.4
2001Q1,2001,1,30,2001Dec,1.9
2001Q1,2001,1,31,2001Dec,1.6
2001Q1,2001,1,32,2001Dec,1.9
2001Q1,2001,1,33,2001Dec,2.3
2001Q1,2001,1,34,2001Dec,2.1
2001Q1,2001,1,35,2001Dec,1.6
2001Q1,2001,1,36,2001Dec,2.1
2001Q1,2001,1,37,2001Dec,1.8
2001Q1,2001,1,38,2001Dec,1.9
2001Q1,2001,1,39,2001Dec,1.3
2001Q1,2001,1,41,2001Dec,1.6
2001Q1,2001,1,42,2001Dec,1.6
2001Q1,2001,1,45,2001Dec,
2001Q1,2001,1,48,2001Dec,1.7
2001Q1,2001,1,49,2001Dec,0.8
2001Q1,2001,1,50,2001Dec,1.5
2001Q1,2001,1,53,2001Dec,1.5
2001Q1,2001,1,54,2001Dec,1.7
2001Q1,2001,1,55,2001Dec,1.5
2001Q1,2001,1,56,2001Dec,1.2
2001Q1,2001,1,57,2001Dec,1.6
2001Q1,2001,1,59,2001Dec,1.2
2001Q1,2001,1,61,2001Dec,1.5
2001Q1,2001,1,63,2001Dec,
2001Q1,2001,1,64,2001Dec,1.8
2001Q1,2001,1,67,2001Dec,1.9
2001Q1,2001,1,68,2001Dec,2.0
2001Q1,2001,1,70,2001Dec,2.0
2001Q1,2001,1,73,2001Dec,2.1
2001Q1,2001,1,82,2001Dec,1.8
2001Q1,2001,1,85,2001Dec,1.8
2001Q1,2001,1,87,2001Dec,1.2
2001Q1,2001,1,89,2001Dec,1.9
2001Q1,2001,1,90,2001Dec,2.0
2001Q1,2001,1,91,2001Dec,1.1
2001Q1,2001,1,92,2001Dec,1.55
2001Q1,2001,1,93,2001Dec,1.8
2001Q1,2001,1,94,2001Dec,0.9
2001Q1,2001,1,95,2001Dec,1.7
2001Q1,2001,1,96,2001Dec,1.8
2001Q2,2001,2,1,2002Mar,1.8
2001Q2,2001,2,2,2002Mar,2.3
2001Q2,2001,2,3,2002Mar,2.0
2001Q2,2001,2,4,2002Mar,1.7
2001Q2,2001,2,5,2002Mar,1.7
2001Q2,2001,2,7,2002Mar,1.6
2001Q2,2001,2,9,2002Mar,1.9
2001Q2,2001,2,10,2002Mar,1.6
2001Q2,2001,2,11,2002Mar,1.9
2001Q2,2001,2,14,2002Mar,1.2
2001Q2,2001,2,15,2002Mar,1.8
2001Q2,2001,2,17,2002Mar,2.4
2001Q2,2001,2,18,2002Mar,
2001Q2,2001,2,19,2002Mar,1.9
2001Q2,2001,2,22,2002Mar,1.6
2001Q2,2001,2,23,2002Mar,2.1
2001Q2,2001,2,24,2002Mar,1.5
2001Q2,2001,2,26,2002Mar,2.2
2001Q2,2001,2,28,2002Mar,1.3
2001Q2,2001,2,29,2002Mar,1.6
2001Q2,2001,2,30,2002Mar,1.9
2001Q2,2001,2,31,2002Mar,2.0
2001Q2,2001,2,32,2002Mar,2.0
2001Q2,2001,2,33,2002Mar,2.0
2001Q2,2001,2,35,2002Mar,1.8
2001Q2,2001,2,36,2002Mar,2.1
2001Q2,2001,2,37,2002Mar,1.5
2001Q2,2001,2,38,2002Mar,2.0
2001Q2,2001,2,39,2002Mar,1.6
2001Q2,2001,2,41,2002Mar,1.7
2001Q2,2001,2,42,2002Mar,1.6
2001Q2,2001,2,45,2002Mar,
2001Q2,2001,2,46,2002Mar,2.68
2001Q2,2001,2,47,2002Mar,1.7
2001Q2,2001,2,48,2002Mar,2.1
2001Q2,2001,2,49,2002Mar,1.2
2001Q2,2001,2,52,2002Mar,1.7
2001Q2,2001,2,53,2002Mar,1.9
2001Q2,2001,2,54,2002Mar,1.7
2001Q2,2001,2,56,2002Mar,1.3
2001Q2,2001,2,57,2002Mar,
2001Q2,2001,2,59,2002Mar,1.5
2001Q2,2001,2,60,2002Mar,1.6
2001Q2,2001,2,61,2002Mar,1.5
2001Q2,2001,2,62,2002Mar,
2001Q2,2001,2,63,2002Mar,
2001Q2,2001,2,70,2002Mar,1.8
2001Q2,2001,2,71,2002Mar,1.2
2001Q2,2001,2,72,2002Mar,1.6
2001Q2,2001,2,73,2002Mar,2.0
2001Q2,2001,2,76,2002Mar,1.7
2001Q2,2001,2,80,2002Mar,1.9
2001Q2,2001,2,84,2002Mar,1.5
2001Q2,2001,2,85,2002Mar,1.8
2001Q2,2001,2,87,2002Mar,1.6
2001Q2,2001,2,89,2002Mar,1.7
2001Q2,2001,2,90,2002Mar,1.8
2001Q2,2001,2,91,2002Mar,2.2
2001Q2,2001,2,92,2002Mar,1.9
2001Q2,2001,2,93,2002Mar,1.6
2001Q2,2001,2,94,2002Mar,2.0
2001Q2,2001,2,96,2002Mar,2.0
2001Q3,2001,3,1,2002Jun,2.3
2001Q3,2001,3,3,2002Jun,1.9
2001Q3,2001,3,5,2002Jun,1.9
2001Q3,2001,3,7,2002Jun,1.6
2001Q3,2001,3,10,2002Jun,
2001Q3,2001,3,11,2002Jun,1.7
2001Q3,2001,3,14,2002Jun,1.4
2001Q3,2001,3,15,2002Jun,2.0
2001Q3,2001,3,19,2002Jun,1.7
2001Q3,2001,3,22,2002Jun,1.5
2001Q3,2001,3,23,2002Jun,1.7
